蓝图名称	任务类型	数量	单次时间(秒)	时间效率	总时间(秒)	总时间(格式化)	备注
碳化晶体反应配方	反应	136	10800	1.0	1468800.0	17.0天	反应配方
菲尔合金碳化物反应配方	反应	116	10800	1.0	1252800.0	14.5天	反应配方
富勒化合物反应配方	反应	28	10800	1.0	302400.0	3.5天	反应配方
鞭挞轻型导弹蓝图	拷贝	6930	240	0.8	1330560.0	15.4天	T1蓝图拷贝
鞭挞轻型导弹蓝图	制造	6930	300	0.9	1871100.0	21.7天	T1制造
雷神轻型导弹蓝图	拷贝	7	240	0.8	1344.0	22.4分钟	T1蓝图拷贝
雷神轻型导弹蓝图	制造	7	300	0.9	1890.0	31.5分钟	T1制造
125mm加特林自动加农炮蓝图 I	拷贝	445	720	0.8	256320.0	3.0天	T1蓝图拷贝
125mm加特林自动加农炮蓝图 I	制造	445	900	0.9	360450.0	4.2天	T1制造
280mm榴弹炮蓝图 I	拷贝	1405	720	0.8	809280.0	9.4天	T1蓝图拷贝
280mm榴弹炮蓝图 I	制造	1405	900	0.9	1138050.0	13.2天	T1制造
双联轻型集束激光器蓝图 I	拷贝	55	720	0.8	31680.0	8.8小时	T1蓝图拷贝
双联轻型集束激光器蓝图 I	制造	55	900	0.9	44550.0	12.4小时	T1制造
碳铅弹蓝图 S	拷贝	3059	240	0.8	587328.0	6.8天	T1蓝图拷贝
碳铅弹蓝图 S	制造	3059	300	0.9	825930.0	9.6天	T1制造
质子弹蓝图 S	拷贝	538	240	0.8	103296.0	1.2天	T1蓝图拷贝
质子弹蓝图 S	制造	538	300	0.9	145260.0	1.7天	T1制造
硬钼弹蓝图 S	拷贝	3436	240	0.8	659712.0	7.6天	T1蓝图拷贝
硬钼弹蓝图 S	制造	3436	300	0.9	927720.0	10.7天	T1制造
聚变弹蓝图 S	拷贝	12374	240	0.8	2375808.0	27.5天	T1蓝图拷贝
聚变弹蓝图 S	制造	12374	300	0.9	3340980.0	38.7天	T1制造
定相等离子弹蓝图 L	拷贝	5711	720	0.8	3289536.0	38.1天	T1蓝图拷贝
定相等离子弹蓝图 L	制造	5711	900	0.9	4625910.0	53.5天	T1制造
小型护盾扩展装置蓝图 I	拷贝	1498	720	0.8	862848.0	10.0天	T1蓝图拷贝
小型护盾扩展装置蓝图 I	制造	1498	900	0.9	1213380.0	14.0天	T1制造
小型护盾回充增量器蓝图 I	拷贝	193	720	0.8	111168.0	1.3天	T1蓝图拷贝
小型护盾回充增量器蓝图 I	制造	193	900	0.9	156330.0	1.8天	T1制造
5MN微型跃迁推进器蓝图 I	拷贝	496	720	0.8	285696.0	3.3天	T1蓝图拷贝
5MN微型跃迁推进器蓝图 I	制造	496	900	0.9	401760.0	4.7天	T1制造
小型装甲维修器蓝图 I	拷贝	156	720	0.8	89856.0	1.0天	T1蓝图拷贝
小型装甲维修器蓝图 I	制造	156	900	0.9	126360.0	1.5天	T1制造
小型能量中和器蓝图 I	拷贝	133	720	0.8	76608.0	21.3小时	T1蓝图拷贝
小型能量中和器蓝图 I	制造	133	900	0.9	107730.0	1.2天	T1制造
75mm加特林磁轨炮蓝图 I	拷贝	400	720	0.8	230400.0	2.7天	T1蓝图拷贝
75mm加特林磁轨炮蓝图 I	制造	400	900	0.9	324000.0	3.8天	T1制造
轻型电子疾速炮蓝图 I	拷贝	125	720	0.8	72000.0	20.0小时	T1蓝图拷贝
轻型电子疾速炮蓝图 I	制造	125	900	0.9	101250.0	1.2天	T1制造
轻型离子疾速炮蓝图 I	拷贝	196	720	0.8	112896.0	1.3天	T1蓝图拷贝
轻型离子疾速炮蓝图 I	制造	196	900	0.9	158760.0	1.8天	T1制造
150mm磁轨炮蓝图 I	拷贝	323	720	0.8	186048.0	2.2天	T1蓝图拷贝
150mm磁轨炮蓝图 I	制造	323	900	0.9	261630.0	3.0天	T1制造
双联150mm磁轨炮蓝图 I	拷贝	52	1440	0.8	59904.0	16.6小时	T1蓝图拷贝
双联150mm磁轨炮蓝图 I	制造	52	1800	0.9	84240.0	23.4小时	T1制造
射频晶体蓝图 S	拷贝	663	240	0.8	127296.0	1.5天	T1蓝图拷贝
射频晶体蓝图 S	制造	663	300	0.9	179010.0	2.1天	T1制造
红外晶体蓝图 S	拷贝	654	240	0.8	125568.0	1.5天	T1蓝图拷贝
红外晶体蓝图 S	制造	654	300	0.9	176580.0	2.0天	T1制造
标准晶体蓝图 S	拷贝	1230	240	0.8	236160.0	2.7天	T1蓝图拷贝
标准晶体蓝图 S	制造	1230	300	0.9	332100.0	3.8天	T1制造
紫外晶体蓝图 S	拷贝	1055	240	0.8	202560.0	2.3天	T1蓝图拷贝
紫外晶体蓝图 S	制造	1055	300	0.9	284850.0	3.3天	T1制造
X射线晶体蓝图 S	拷贝	573	240	0.8	110016.0	1.3天	T1蓝图拷贝
X射线晶体蓝图 S	制造	573	300	0.9	154710.0	1.8天	T1制造
多频晶体蓝图 S	拷贝	2806	240	0.8	538752.0	6.2天	T1蓝图拷贝
多频晶体蓝图 S	制造	2806	300	0.9	757620.0	8.8天	T1制造
红外晶体蓝图 M	拷贝	576	480	0.8	221184.0	2.6天	T1蓝图拷贝
红外晶体蓝图 M	制造	576	600	0.9	311040.0	3.6天	T1制造
标准晶体蓝图 M	拷贝	2395	480	0.8	919680.0	10.6天	T1蓝图拷贝
标准晶体蓝图 M	制造	2395	600	0.9	1293300.0	15.0天	T1制造
紫外晶体蓝图 M	拷贝	610	480	0.8	234240.0	2.7天	T1蓝图拷贝
紫外晶体蓝图 M	制造	610	600	0.9	329400.0	3.8天	T1制造
多频晶体蓝图 M	拷贝	2178	480	0.8	836352.0	9.7天	T1蓝图拷贝
多频晶体蓝图 M	制造	2178	600	0.9	1176120.0	13.6天	T1制造
微波晶体蓝图 L	拷贝	1484	720	0.8	854784.0	9.9天	T1蓝图拷贝
微波晶体蓝图 L	制造	1484	900	0.9	1202040.0	13.9天	T1制造
标准晶体蓝图 L	拷贝	1549	720	0.8	892224.0	10.3天	T1蓝图拷贝
标准晶体蓝图 L	制造	1549	900	0.9	1254690.0	14.5天	T1制造
小型电容器电池蓝图 I	拷贝	240	720	0.8	138240.0	1.6天	T1蓝图拷贝
小型电容器电池蓝图 I	制造	240	900	0.9	194400.0	2.2天	T1制造
电容回充器蓝图 I	拷贝	1	1440	0.8	1152.0	19.2分钟	T1蓝图拷贝
电容回充器蓝图 I	制造	1	1800	0.9	1620.0	27.0分钟	T1制造
电容通量线圈蓝图 I	拷贝	86	720	0.8	49536.0	13.8小时	T1蓝图拷贝
电容通量线圈蓝图 I	制造	86	900	0.9	69660.0	19.4小时	T1制造
强化舱隔壁蓝图 I	拷贝	226	720	0.8	130176.0	1.5天	T1蓝图拷贝
强化舱隔壁蓝图 I	制造	226	900	0.9	183060.0	2.1天	T1制造
反应堆控制元件蓝图 I	拷贝	298	720	0.8	171648.0	2.0天	T1蓝图拷贝
反应堆控制元件蓝图 I	制造	298	900	0.9	241380.0	2.8天	T1制造
惯性稳定器蓝图 I	拷贝	1738	720	0.8	1001088.0	11.6天	T1蓝图拷贝
惯性稳定器蓝图 I	制造	1738	900	0.9	1407780.0	16.3天	T1制造
电容能源继电器蓝图 I	拷贝	186	720	0.8	107136.0	1.2天	T1蓝图拷贝
电容能源继电器蓝图 I	制造	186	900	0.9	150660.0	1.7天	T1制造
能源诊断系统蓝图 I	拷贝	7	720	0.8	4032.0	1.1小时	T1蓝图拷贝
能源诊断系统蓝图 I	制造	7	900	0.9	5670.0	1.6小时	T1制造
大型电容器电池蓝图 I	拷贝	27	1440	0.8	31104.0	8.6小时	T1蓝图拷贝
大型电容器电池蓝图 I	制造	27	1800	0.9	43740.0	12.2小时	T1制造
地精灵蓝图 I	拷贝	7520	240	0.8	1443840.0	16.7天	T1蓝图拷贝
地精灵蓝图 I	制造	7520	300	0.9	2030400.0	23.5天	T1制造
中型装甲维修器蓝图 I	拷贝	118	1440	0.8	135936.0	1.6天	T1蓝图拷贝
中型装甲维修器蓝图 I	制造	118	1800	0.9	191160.0	2.2天	T1制造
小型远程护盾回充增量器蓝图 I	拷贝	48	720	0.8	27648.0	7.7小时	T1蓝图拷贝
小型远程护盾回充增量器蓝图 I	制造	48	900	0.9	38880.0	10.8小时	T1制造
火箭发射器蓝图 I	拷贝	781	720	0.8	449856.0	5.2天	T1蓝图拷贝
火箭发射器蓝图 I	制造	781	900	0.9	632610.0	7.3天	T1制造
125mm磁轨炮蓝图 I	拷贝	190	720	0.8	109440.0	1.3天	T1蓝图拷贝
125mm磁轨炮蓝图 I	制造	190	900	0.9	153900.0	1.8天	T1制造
100mm钢附甲板蓝图 I	拷贝	35	720	0.8	20160.0	5.6小时	T1蓝图拷贝
100mm钢附甲板蓝图 I	制造	35	900	0.9	28350.0	7.9小时	T1制造
小型远程装甲维修器蓝图 I	拷贝	53	720	0.8	30528.0	8.5小时	T1蓝图拷贝
小型远程装甲维修器蓝图 I	制造	53	900	0.9	42930.0	11.9小时	T1制造
索敌计算机蓝图 I	拷贝	192	1440	0.8	221184.0	2.6天	T1蓝图拷贝
索敌计算机蓝图 I	制造	192	1800	0.9	311040.0	3.6天	T1制造
信号放大器蓝图 I	拷贝	84	720	0.8	48384.0	13.4小时	T1蓝图拷贝
信号放大器蓝图 I	制造	84	900	0.9	68040.0	18.9小时	T1制造
中型能量中和器蓝图 I	拷贝	24	1440	0.8	27648.0	7.7小时	T1蓝图拷贝
中型能量中和器蓝图 I	制造	24	1800	0.9	38880.0	10.8小时	T1制造
目标标记装置蓝图 I	拷贝	271	1440	0.8	312192.0	3.6天	T1蓝图拷贝
目标标记装置蓝图 I	制造	271	1800	0.9	439020.0	5.1天	T1制造
巡航导弹发射器蓝图 I	拷贝	226	2160	0.8	390528.0	4.5天	T1蓝图拷贝
巡航导弹发射器蓝图 I	制造	226	2700	0.9	549180.0	6.4天	T1制造
全方位索敌连接蓝图 I	拷贝	96	1440	0.8	110592.0	1.3天	T1蓝图拷贝
全方位索敌连接蓝图 I	制造	96	1800	0.9	155520.0	1.8天	T1制造
导弹制导增强器蓝图 I	拷贝	87	720	0.8	50112.0	13.9小时	T1蓝图拷贝
导弹制导增强器蓝图 I	制造	87	900	0.9	70470.0	19.6小时	T1制造
导弹制导计算机蓝图 I	拷贝	347	1440	0.8	399744.0	4.6天	T1蓝图拷贝
导弹制导计算机蓝图 I	制造	347	1800	0.9	562140.0	6.5天	T1制造
制导干扰器蓝图 I	拷贝	46	1440	0.8	52992.0	14.7小时	T1蓝图拷贝
制导干扰器蓝图 I	制造	46	1800	0.9	74520.0	20.7小时	T1制造
硬钼弹蓝图 S	拷贝	1550	240	0.8	297600.0	3.4天	拷贝T1蓝图用于发明T2蓝图冰雹蓝图 S
冰雹蓝图 S	发明	1550	22800	0.75	26505000.0	306.8天	成功率34.0%, 预计产出527流程蓝图
冰雹蓝图 S	制造	527	4800	0.756	1912377.6	22.1天	T2制造，TE4
小型装甲维修器蓝图 I	拷贝	3	720	0.8	1728.0	28.8分钟	拷贝T1蓝图用于发明T2蓝图小型装甲维修器蓝图 II
小型装甲维修器蓝图 II	发明	3	13800	0.75	31050.0	8.6小时	成功率34.0%, 预计产出1流程蓝图
小型装甲维修器蓝图 II	制造	1	2340	0.756	1769.04	29.5分钟	T2制造，TE4
射频晶体蓝图 S	拷贝	1356	240	0.8	260352.0	3.0天	拷贝T1蓝图用于发明T2蓝图极光蓝图 S
极光蓝图 S	发明	1356	22800	0.75	23187600.0	268.4天	成功率34.0%, 预计产出461流程蓝图
极光蓝图 S	制造	461	4800	0.756	1672876.8	19.4天	T2制造，TE4
强化舱隔壁蓝图 I	拷贝	665	720	0.8	383040.0	4.4天	拷贝T1蓝图用于发明T2蓝图强化舱隔壁蓝图 II
强化舱隔壁蓝图 II	发明	665	13800	0.75	6882750.0	79.7天	成功率34.0%, 预计产出226流程蓝图
强化舱隔壁蓝图 II	制造	226	2340	0.756	399803.04	4.6天	T2制造，TE4
能源诊断系统蓝图 I	拷贝	21	720	0.8	12096.0	3.4小时	拷贝T1蓝图用于发明T2蓝图能源诊断系统蓝图 II
能源诊断系统蓝图 II	发明	21	13800	0.75	217350.0	2.5天	成功率34.0%, 预计产出7流程蓝图
能源诊断系统蓝图 II	制造	7	2340	0.756	12383.28	3.4小时	T2制造，TE4
小型远程装甲维修器蓝图 I	拷贝	171	720	0.8	98496.0	1.1天	拷贝T1蓝图用于发明T2蓝图小型远程装甲维修器蓝图 II
小型远程装甲维修器蓝图 II	发明	171	13800	0.75	1769850.0	20.5天	成功率34.0%, 预计产出58流程蓝图
小型远程装甲维修器蓝图 II	制造	58	2340	0.756	102604.32	1.2天	T2制造，TE4
中型处理器超频组件蓝图 I	拷贝	1	2400	0.8	1920.0	32.0分钟	T1蓝图拷贝
中型处理器超频组件蓝图 I	制造	1	3000	0.9	2700.0	45.0分钟	T1制造
大型处理器超频组件蓝图 I	拷贝	15	3600	0.8	43200.0	12.0小时	T1蓝图拷贝
大型处理器超频组件蓝图 I	制造	15	4500	0.9	60750.0	16.9小时	T1制造
大型热能装甲强化装置蓝图 I	拷贝	13	3600	0.8	37440.0	10.4小时	T1蓝图拷贝
大型热能装甲强化装置蓝图 I	制造	13	4500	0.9	52650.0	14.6小时	T1制造
大型能量武器轨迹校准设备蓝图 I	拷贝	9	3600	0.8	25920.0	7.2小时	T1蓝图拷贝
大型能量武器轨迹校准设备蓝图 I	制造	9	4500	0.9	36450.0	10.1小时	T1制造
大型爆炸护盾强化装置蓝图 I	拷贝	5	3600	0.8	14400.0	4.0小时	T1蓝图拷贝
大型爆炸护盾强化装置蓝图 I	制造	5	4500	0.9	20250.0	5.6小时	T1制造
小型处理器超频组件蓝图 I	拷贝	1537	1200	0.8	1475520.0	17.1天	T1蓝图拷贝
小型处理器超频组件蓝图 I	制造	1537	1500	0.9	2074950.0	24.0天	T1制造
小型电磁装甲强化装置蓝图 I	拷贝	15	1200	0.8	14400.0	4.0小时	T1蓝图拷贝
小型电磁装甲强化装置蓝图 I	制造	15	1500	0.9	20250.0	5.6小时	T1制造
中型远程维修增效器蓝图 I	拷贝	61	2400	0.8	117120.0	1.4天	T1蓝图拷贝
中型远程维修增效器蓝图 I	制造	61	3000	0.9	164700.0	1.9天	T1制造
小型能量武器范围扩大设备蓝图 I	拷贝	4	1200	0.8	3840.0	1.1小时	T1蓝图拷贝
小型能量武器范围扩大设备蓝图 I	制造	4	1500	0.9	5400.0	1.5小时	T1制造
小型能量武器发散调节装置蓝图 I	拷贝	75	1200	0.8	72000.0	20.0小时	T1蓝图拷贝
小型能量武器发散调节装置蓝图 I	制造	75	1500	0.9	101250.0	1.2天	T1制造
小型能量武器冲击加速器蓝图 I	拷贝	66	1200	0.8	63360.0	17.6小时	T1蓝图拷贝
小型能量武器冲击加速器蓝图 I	制造	66	1500	0.9	89100.0	1.0天	T1制造
中型能量武器冲击加速器蓝图 I	拷贝	14	2400	0.8	26880.0	7.5小时	T1蓝图拷贝
中型能量武器冲击加速器蓝图 I	制造	14	3000	0.9	37800.0	10.5小时	T1制造
小型能量武器轨迹校准设备蓝图 I	拷贝	170	1200	0.8	163200.0	1.9天	T1蓝图拷贝
小型能量武器轨迹校准设备蓝图 I	制造	170	1500	0.9	229500.0	2.7天	T1制造
小型能量武器急转控制器蓝图 I	拷贝	6	1200	0.8	5760.0	1.6小时	T1蓝图拷贝
小型能量武器急转控制器蓝图 I	制造	6	1500	0.9	8100.0	2.2小时	T1制造
小型混合武器范围扩大装置蓝图 I	拷贝	9	1200	0.8	8640.0	2.4小时	T1蓝图拷贝
小型混合武器范围扩大装置蓝图 I	制造	9	1500	0.9	12150.0	3.4小时	T1制造
小型混合武器射速调节装置蓝图 I	拷贝	2	1200	0.8	1920.0	32.0分钟	T1蓝图拷贝
小型混合武器射速调节装置蓝图 I	制造	2	1500	0.9	2700.0	45.0分钟	T1制造
中型混合武器射速调节装置蓝图 I	拷贝	21	2400	0.8	40320.0	11.2小时	T1蓝图拷贝
中型混合武器射速调节装置蓝图 I	制造	21	3000	0.9	56700.0	15.8小时	T1制造
中型混合武器冲击加速器蓝图 I	拷贝	27	2400	0.8	51840.0	14.4小时	T1蓝图拷贝
中型混合武器冲击加速器蓝图 I	制造	27	3000	0.9	72900.0	20.2小时	T1制造
小型混合武器轨迹校准设备蓝图 I	拷贝	92	1200	0.8	88320.0	1.0天	T1蓝图拷贝
小型混合武器轨迹校准设备蓝图 I	制造	92	1500	0.9	124200.0	1.4天	T1制造
中型混合武器轨迹校准设备蓝图 I	拷贝	6	2400	0.8	11520.0	3.2小时	T1蓝图拷贝
中型混合武器轨迹校准设备蓝图 I	制造	6	3000	0.9	16200.0	4.5小时	T1制造
小型混合武器急转控制器蓝图 I	拷贝	7	1200	0.8	6720.0	1.9小时	T1蓝图拷贝
小型混合武器急转控制器蓝图 I	制造	7	1500	0.9	9450.0	2.6小时	T1制造
中型混合武器急转控制器蓝图 I	拷贝	12	2400	0.8	23040.0	6.4小时	T1蓝图拷贝
中型混合武器急转控制器蓝图 I	制造	12	3000	0.9	32400.0	9.0小时	T1制造
小型弹头加热辅助系统蓝图 I	拷贝	1	1200	0.8	960.0	16.0分钟	T1蓝图拷贝
小型弹头加热辅助系统蓝图 I	制造	1	1500	0.9	1350.0	22.5分钟	T1制造
小型弹头爆燃辅助系统蓝图 I	拷贝	44	1200	0.8	42240.0	11.7小时	T1蓝图拷贝
小型弹头爆燃辅助系统蓝图 I	制造	44	1500	0.9	59400.0	16.5小时	T1制造
小型弹头强化辅助系统蓝图 I	拷贝	59	1200	0.8	56640.0	15.7小时	T1蓝图拷贝
小型弹头强化辅助系统蓝图 I	制造	59	1500	0.9	79650.0	22.1小时	T1制造
小型射弹武器轨迹校准设备蓝图 I	拷贝	690	1200	0.8	662400.0	7.7天	T1蓝图拷贝
小型射弹武器轨迹校准设备蓝图 I	制造	690	1500	0.9	931500.0	10.8天	T1制造
小型热能护盾强化装置蓝图 I	拷贝	8	1200	0.8	7680.0	2.1小时	T1蓝图拷贝
小型热能护盾强化装置蓝图 I	制造	8	1500	0.9	10800.0	3.0小时	T1制造
中型核心防御力场扩张装置蓝图 I	拷贝	438	2400	0.8	840960.0	9.7天	T1蓝图拷贝
中型核心防御力场扩张装置蓝图 I	制造	438	3000	0.9	1182600.0	13.7天	T1制造
小型核心防御力场稳固装置蓝图 I	拷贝	81	1200	0.8	77760.0	21.6小时	T1蓝图拷贝
小型核心防御力场稳固装置蓝图 I	制造	81	1500	0.9	109350.0	1.3天	T1制造
小型核心防御操控稳定装置蓝图 I	拷贝	11	1200	0.8	10560.0	2.9小时	T1蓝图拷贝
小型核心防御操控稳定装置蓝图 I	制造	11	1500	0.9	14850.0	4.1小时	T1制造
小型横贯舱壁蓝图 I	拷贝	10	1200	0.8	9600.0	2.7小时	T1蓝图拷贝
小型横贯舱壁蓝图 I	制造	10	1500	0.9	13500.0	3.8小时	T1制造
小型电磁装甲强化装置蓝图 I	拷贝	27	1200	0.8	25920.0	7.2小时	拷贝T1蓝图用于发明T2蓝图小型电磁装甲强化装置蓝图 II
小型电磁装甲强化装置蓝图 II	发明	27	7200	0.75	145800.0	1.7天	成功率34.0%, 预计产出9流程蓝图
小型电磁装甲强化装置蓝图 II	制造	9	15000	0.756	102060.0	1.2天	T2制造，TE4
小型辅助推进器蓝图 I	拷贝	542	1200	0.8	520320.0	6.0天	拷贝T1蓝图用于发明T2蓝图小型辅助推进器蓝图 II
小型辅助推进器蓝图 II	发明	542	7200	0.75	2926800.0	33.9天	成功率34.0%, 预计产出184流程蓝图
小型辅助推进器蓝图 II	制造	184	15000	0.756	2086560.0	24.1天	T2制造，TE4
小型能量武器范围扩大设备蓝图 I	拷贝	21	1200	0.8	20160.0	5.6小时	拷贝T1蓝图用于发明T2蓝图小型能量武器范围扩大设备蓝图 II
小型能量武器范围扩大设备蓝图 II	发明	21	7200	0.75	113400.0	1.3天	成功率34.0%, 预计产出7流程蓝图
小型能量武器范围扩大设备蓝图 II	制造	7	15000	0.756	79380.0	22.1小时	T2制造，TE4
中型能量武器范围扩大设备蓝图 I	拷贝	3	2400	0.8	5760.0	1.6小时	拷贝T1蓝图用于发明T2蓝图中型能量武器范围扩大设备蓝图 II
中型能量武器范围扩大设备蓝图 II	发明	3	15600	0.75	35100.0	9.8小时	成功率34.0%, 预计产出1流程蓝图
中型能量武器范围扩大设备蓝图 II	制造	1	30000	0.756	22680.0	6.3小时	T2制造，TE4
小型能量武器发散调节装置蓝图 I	拷贝	656	1200	0.8	629760.0	7.3天	拷贝T1蓝图用于发明T2蓝图小型能量武器发散调节装置蓝图 II
小型能量武器发散调节装置蓝图 II	发明	656	7200	0.75	3542400.0	41.0天	成功率34.0%, 预计产出223流程蓝图
小型能量武器发散调节装置蓝图 II	制造	223	15000	0.756	2528820.0	29.3天	T2制造，TE4
小型能量武器冲击加速器蓝图 I	拷贝	312	1200	0.8	299520.0	3.5天	拷贝T1蓝图用于发明T2蓝图小型能量武器冲击加速器蓝图 II
小型能量武器冲击加速器蓝图 II	发明	312	7200	0.75	1684800.0	19.5天	成功率34.0%, 预计产出106流程蓝图
小型能量武器冲击加速器蓝图 II	制造	106	15000	0.756	1202040.0	13.9天	T2制造，TE4
小型能量武器轨迹校准设备蓝图 I	拷贝	824	1200	0.8	791040.0	9.2天	拷贝T1蓝图用于发明T2蓝图小型能量武器轨迹校准设备蓝图 II
小型能量武器轨迹校准设备蓝图 II	发明	824	7200	0.75	4449600.0	51.5天	成功率34.0%, 预计产出280流程蓝图
小型能量武器轨迹校准设备蓝图 II	制造	280	15000	0.756	3175200.0	36.8天	T2制造，TE4
中型能量武器轨迹校准设备蓝图 I	拷贝	498	2400	0.8	956160.0	11.1天	拷贝T1蓝图用于发明T2蓝图中型能量武器轨迹校准设备蓝图 II
中型能量武器轨迹校准设备蓝图 II	发明	498	15600	0.75	5826600.0	67.4天	成功率34.0%, 预计产出169流程蓝图
中型能量武器轨迹校准设备蓝图 II	制造	169	30000	0.756	3832920.0	44.4天	T2制造，TE4
小型能量武器急转控制器蓝图 I	拷贝	48	1200	0.8	46080.0	12.8小时	拷贝T1蓝图用于发明T2蓝图小型能量武器急转控制器蓝图 II
小型能量武器急转控制器蓝图 II	发明	48	7200	0.75	259200.0	3.0天	成功率34.0%, 预计产出16流程蓝图
小型能量武器急转控制器蓝图 II	制造	16	15000	0.756	181440.0	2.1天	T2制造，TE4
中型能量武器急转控制器蓝图 I	拷贝	18	2400	0.8	34560.0	9.6小时	拷贝T1蓝图用于发明T2蓝图中型能量武器急转控制器蓝图 II
中型能量武器急转控制器蓝图 II	发明	18	15600	0.75	210600.0	2.4天	成功率34.0%, 预计产出6流程蓝图
中型能量武器急转控制器蓝图 II	制造	6	30000	0.756	136080.0	1.6天	T2制造，TE4
小型混合武器范围扩大装置蓝图 I	拷贝	6	1200	0.8	5760.0	1.6小时	拷贝T1蓝图用于发明T2蓝图小型混合武器范围扩大装置蓝图 II
小型混合武器范围扩大装置蓝图 II	发明	6	7200	0.75	32400.0	9.0小时	成功率34.0%, 预计产出2流程蓝图
小型混合武器范围扩大装置蓝图 II	制造	2	15000	0.756	22680.0	6.3小时	T2制造，TE4
中型混合武器范围扩大装置蓝图 I	拷贝	9	2400	0.8	17280.0	4.8小时	拷贝T1蓝图用于发明T2蓝图中型混合武器范围扩大装置蓝图 II
中型混合武器范围扩大装置蓝图 II	发明	9	15600	0.75	105300.0	1.2天	成功率34.0%, 预计产出3流程蓝图
中型混合武器范围扩大装置蓝图 II	制造	3	30000	0.756	68040.0	18.9小时	T2制造，TE4
小型混合武器急转控制器蓝图 I	拷贝	3	1200	0.8	2880.0	48.0分钟	拷贝T1蓝图用于发明T2蓝图小型混合武器急转控制器蓝图 II
小型混合武器急转控制器蓝图 II	发明	3	7200	0.75	16200.0	4.5小时	成功率34.0%, 预计产出1流程蓝图
小型混合武器急转控制器蓝图 II	制造	1	15000	0.756	11340.0	3.1小时	T2制造，TE4
小型火箭燃料缓冲隔离装置蓝图 I	拷贝	18	1200	0.8	17280.0	4.8小时	拷贝T1蓝图用于发明T2蓝图小型火箭燃料缓冲隔离装置蓝图 II
小型火箭燃料缓冲隔离装置蓝图 II	发明	18	7200	0.75	97200.0	1.1天	成功率34.0%, 预计产出6流程蓝图
小型火箭燃料缓冲隔离装置蓝图 II	制造	6	15000	0.756	68040.0	18.9小时	T2制造，TE4
小型射弹武器冲击加速器蓝图 I	拷贝	3	1200	0.8	2880.0	48.0分钟	拷贝T1蓝图用于发明T2蓝图小型射弹武器冲击加速器蓝图 II
小型射弹武器冲击加速器蓝图 II	发明	3	7200	0.75	16200.0	4.5小时	成功率34.0%, 预计产出1流程蓝图
小型射弹武器冲击加速器蓝图 II	制造	1	15000	0.756	11340.0	3.1小时	T2制造，TE4
小型射弹武器急转控制器蓝图 I	拷贝	9	1200	0.8	8640.0	2.4小时	拷贝T1蓝图用于发明T2蓝图小型射弹武器急转控制器蓝图 II
小型射弹武器急转控制器蓝图 II	发明	9	7200	0.75	48600.0	13.5小时	成功率34.0%, 预计产出3流程蓝图
小型射弹武器急转控制器蓝图 II	制造	3	15000	0.756	34020.0	9.4小时	T2制造，TE4
小型热能护盾强化装置蓝图 I	拷贝	265	1200	0.8	254400.0	2.9天	拷贝T1蓝图用于发明T2蓝图小型热能护盾强化装置蓝图 II
小型热能护盾强化装置蓝图 II	发明	265	7200	0.75	1431000.0	16.6天	成功率34.0%, 预计产出90流程蓝图
小型热能护盾强化装置蓝图 II	制造	90	15000	0.756	1020600.0	11.8天	T2制造，TE4
小型核心防御力场稳固装置蓝图 I	拷贝	180	1200	0.8	172800.0	2.0天	拷贝T1蓝图用于发明T2蓝图小型核心防御力场稳固装置蓝图 II
小型核心防御力场稳固装置蓝图 II	发明	180	7200	0.75	972000.0	11.2天	成功率34.0%, 预计产出61流程蓝图
小型核心防御力场稳固装置蓝图 II	制造	61	15000	0.756	691740.0	8.0天	T2制造，TE4
小型核心防御操控稳定装置蓝图 I	拷贝	21	1200	0.8	20160.0	5.6小时	拷贝T1蓝图用于发明T2蓝图小型核心防御操控稳定装置蓝图 II
小型核心防御操控稳定装置蓝图 II	发明	21	7200	0.75	113400.0	1.3天	成功率34.0%, 预计产出7流程蓝图
小型核心防御操控稳定装置蓝图 II	制造	7	15000	0.756	79380.0	22.1小时	T2制造，TE4
小型横贯舱壁蓝图 I	拷贝	48	1200	0.8	46080.0	12.8小时	拷贝T1蓝图用于发明T2蓝图小型横贯舱壁蓝图 II
小型横贯舱壁蓝图 II	发明	48	7200	0.75	259200.0	3.0天	成功率34.0%, 预计产出16流程蓝图
小型横贯舱壁蓝图 II	制造	16	15000	0.756	181440.0	2.1天	T2制造，TE4
微晶合金反应配方	反应	68	10800	1.0	734400.0	8.5天	反应配方
菲尔合金反应配方	反应	58	10800	1.0	626400.0	7.2天	反应配方
碳聚合物反应配方	反应	262	10800	1.0	2829600.0	32.8天	反应配方
陶瓷粉末反应配方	反应	78	10800	1.0	842400.0	9.8天	反应配方
铂锝合金反应配方	反应	14	10800	1.0	151200.0	1.8天	反应配方
